,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10
536,487,30,2,2,1,1,1,0,0,0
537,486,29,2,2,1,1,1,4,0,0
538,487,29,2,2,1,1,1,3,0,0
539,485,29,2,2,1,1,1,1,0,0
540,485,30,2,2,1,1,1,0,0,0
541,485,30,2,2,1,1,1,4,0,0
542,486,31,2,2,2,1,1,2,0,0
543,486,30,2,2,1,1,1,1,0,0
544,486,31,2,2,2,1,1,5,0,0
545,484,31,2,2,1,1,1,0,0,0
546,485,31,2,2,1,1,1,4,0,0
547,486,31,2,2,2,1,1,3,0,0
548,485,30,2,2,1,1,1,1,0,0
549,486,31,2,2,1,1,1,5,0,0
550,486,30,2,2,1,1,1,4,0,0
551,484,31,2,2,1,1,1,2,0,0
552,487,30,2,2,1,1,1,1,0,0
553,485,31,2,2,2,1,1,5,0,0
554,486,30,2,2,2,1,1,0,0,0
555,484,29,2,2,1,1,1,4,0,0
556,485,32,2,2,2,1,1,2,0,0
557,486,30,2,2,1,1,1,1,0,0
558,486,31,2,2,1,1,1,5,0,0
559,484,31,2,2,1,1,1,0,0,0
560,487,30,2,2,1,1,1,3,0,0
561,484,30,2,2,1,1,1,1,0,0
562,484,31,2,2,2,1,1,5,0,0
563,486,32,2,2,2,1,1,0,0,0
564,484,30,2,2,1,1,1,4,0,0
565,486,31,2,2,1,1,1,2,0,0
566,486,30,2,2,1,1,1,1,0,0
567,486,30,2,2,1,1,1,5,0,0
568,487,29,2,2,2,1,1,0,0,0
569,485,30,2,2,1,1,1,2,0,0
570,485,29,2,2,1,1,1,1,0,0
571,485,30,2,2,2,1,1,5,0,0
572,485,31,2,2,2,1,1,0,0,0
573,485,29,2,2,2,1,1,4,0,0
574,486,29,2,2,1,1,1,3,0,0
575,486,29,2,2,1,1,1,1,0,0
576,485,31,2,2,2,1,1,5,0,0
577,486,30,2,2,1,1,1,0,0,0
578,485,31,2,2,1,1,1,4,0,0
579,485,30,2,2,1,1,1,1,0,0
580,486,31,2,2,2,1,1,5,0,0
581,485,30,2,2,2,1,1,0,0,0
582,486,31,2,2,2,1,1,4,0,0
583,486,30,2,2,1,1,1,2,0,0
584,485,30,2,2,2,1,1,1,0,0
585,484,30,2,2,1,1,1,5,0,0
586,485,30,2,2,1,1,1,0,0,0
587,485,30,2,2,1,1,1,4,0,0
588,486,30,2,2,1,1,1,3,0,0
589,486,29,2,2,1,1,1,5,0,0
590,486,30,2,2,1,1,1,0,0,0
591,485,29,2,2,1,1,1,4,0,0
592,486,30,2,2,1,1,1,2,0,0
593,484,31,2,2,2,1,1,1,0,0
594,486,30,2,2,1,1,1,5,0,0
595,484,30,2,2,2,1,1,0,0,0
596,486,30,2,2,1,1,1,4,0,0
597,484,32,2,2,2,1,1,2,0,0
598,486,31,2,2,2,1,1,5,0,0
599,486,30,2,2,2,1,1,0,0,0
600,484,30,2,2,1,1,1,4,0,0
601,486,31,2,2,2,1,1,3,0,0
602,485,31,2,2,2,1,1,1,0,0
603,486,30,2,2,1,1,1,5,0,0
604,486,29,2,2,1,1,1,0,0,0
605,486,30,2,2,2,1,1,4,0,0
606,485,30,2,2,1,1,1,2,0,0
607,484,30,2,2,1,1,1,1,0,0
608,486,31,2,2,2,1,1,5,0,0
609,486,30,2,2,1,1,1,0,0,0
610,486,31,2,2,1,1,1,4,0,0
611,485,32,2,2,2,1,1,2,0,0
612,486,30,2,2,1,1,1,1,0,0
613,486,30,2,2,1,1,1,5,0,0
614,486,31,2,2,2,1,1,0,0,0
615,485,31,2,2,1,1,1,4,0,0
616,487,31,2,2,1,1,1,2,0,0
617,486,29,2,2,1,1,1,1,0,0
618,487,30,2,2,1,1,1,0,0,0
619,486,30,2,2,1,1,1,4,0,0
620,486,30,2,2,1,1,1,3,0,0
621,486,29,2,2,1,1,1,1,0,0
622,484,31,2,2,2,1,1,5,0,0
623,486,30,2,2,1,1,1,0,0,0
624,486,31,2,2,1,1,1,4,0,0
625,486,30,2,2,1,1,1,3,0,0
626,486,31,2,2,1,1,1,1,0,0
